Full Name,Company Name,Job Title,Talk Title,Abstract,What You'll Learn,Prerequiste Knowledge (if required),Track,Technical Level (1-7),Category 1,Top 3 keywords (in order),Bio,YouTube Link,Relevant Industries,What is Unique about your session,Event,YouTube ID
Urmish Thakker,SambaNova Systems,Director of Machine Learning,Building state-of-the-art chat bot using open source models and composite systems,"Open source LLMs like LLAMA2 and BLOOM have enabled widespread development of enterprise LLM Applications. As the models adoption has matured over-time, we have seen a rise in LLMs specialized to solve narrow domains, tasks or modalities. By adopting such specialization, these models are able to outperform far larger proprietary or open models. For example, 7-70B llama experts like UniNER, TabLLAMA, NexusRaven, SambaCoder-nsql-llama2 etc can outperform GPT-4 on NER, Function Calling, Tabular data and Text2SQL tasks. Many more such examples exist and can be found in open source. However, one unique feature that larger proprietary models offer is a single end-point that takes an user query and provides a response. These responses can sometimes also include a chain of tasks that was solved to get to such a response. 

The question we try to answer in this research is whether we can build a composite LLM system using open source checkpoints that can effectively provide this same usability as a larger proprietary model. This includes taking a user request and mapping it to a single checkpoint or a group of checkpoints that can solve the request and serve the user. Our work indicates that such a composite is indeed possible. We show this by building a new state-of-the-art model based on various adaptations of the mistral 7b model. Using unique ensembling methods, this composite model outperforms Gemma-7B, Mixtral-8x7B, llama2-70B,, Qwen-72B, Falcon-180B and BLOOM-176B at an effective inference cost of <10B parameter model (https://sambanova.ai/blog/samba-coe-v01-composition-of-experts)",,,Advanced Technical/Research,4.0,"Model dev, training, arch.","Composite LLM systems, Open-source models, Ensembling methods","Urmish leads the LLM Team at SambaNova Systems. The LLM team at SambaNova focuses on understanding how to train and evaluate HHH aligned large language models, adapting LLMs to enterprise use-cases and HW-SW co-design of LLMs to enable efficient training and inference. Before SambaNova, he was in various engineering and research roles at Arm, AMD and Texas Instruments. He also helped drive the TinyML Performance Working Group in MLPerf, contributing to the development of key benchmarks for IoT ML. Urmish has 35+ publications and patents focussing on efficient deep learning and LLMs. His papers have been published at top ML and HW conferences like NeurIPS, ICLR and ISCA and has been an invited speaker at various top universities and industry academia summits. He completed his masters at the University of Wisconsin Madison and his bachelors from Birla Institute of Technology and Science.",https://www.youtube.com/watch?v=yYlBiRLBss0,"Information Technology Services, Banking & Financial Services, Computer Software, Hospital & Health Care",,MLOps & GenAI World 2024,yYlBiRLBss0
Emerson Taymor,InfoBeans,"SVP, Design",GenAI: A New Renaissance in Product Development,"Drawing inspiration from the Renaissance, a time of explosive cultural and economic growth, we explore how GenAI is poised to revolutionize product development. I’ll explore its groundbreaking impact on global collaboration, user research, and product development process. I will also highlight potential caveats and pitfalls. This talk promises an action-packed look at GenAI's role in shaping a new era of human-centric and economically impactful product development, ensuring you're equipped to experiment in this modern renaissance."," * Understand quickly why GenAI is going to have such a profound impact on the world
* Learn specific ways that you can leverage GenAI when working with global teams
* Gain tool kits for integrating GenAI in your user research process to help you go faster
* Discover new tools that can improve all stages of the product development process to maximize speed
* Understand specific caveats and pitfalls that should be avoided when thinking about GenAI in the product process",,Business Strategy or Ethics,1.0,Business and stakeholder alignment,"Generative AI, Product Development, Global Collaboration
","Emerson Taymor is a serial entrepreneur, investor, and currently the SVP of Design at InfoBeans as well as the creator of multiple hospitality brands in New York City. He co-founded the digital product studio, Philosophie, where he worked with enterprise executives and startup founders to launch over 300 digital products before it was acquired by InfoBeans in 2019.

In the digital world, Emerson works with leaders to help them unstick their big digital ideas through rapid experimentation and making.

In the physical world, he helped create one of the hottest speakeasy concepts in the East Village and one of the top rated cocktail bars in Brooklyn.

He loves weaving together these two worlds, exploring new parts of the world and being a sports fanatic.

https://linkedin.com/in/etaymor",https://www.youtube.com/watch?v=ddkjHTGJyHA,"Automotive, Banking & Financial Services, Computer Software, Food & Beverages, Information Technology & Service, Environmental Services, Hospital & Health Care, Insurance, Telecommunications, Marketing & Advertising, Other
",,TMLS 2024,ddkjHTGJyHA
Jose Nicholas Francisco,Deepgram,ML Developer Advocate,"LLMs, Big Data, and Audio: Breaching an Untapped Gold Mine","Large language models like those in the GPT and Llama series are primarily trained on massive amounts of *text* data. However, the vast majority of language and communication doesn't take place over text, but rather through voice. Cues in vocal tone carry information that the plaintext cannot convey—think about the last time you've witnessed or experienced a miscommunication over text/email/Slack. Thus, in this talk, I argue that training language models on audio data is the next step to improving them. Then, I'll propose a way of integrating audio data with text data in a larger dataset that can then be used for training various LLMs.",,,Ignite Lightning Talk,,"Model dev, training, arch.","Audio Data Integration, LLM Training, Communication Enhancement","Jose is a Developer Advocate at Deepgram, aiming to demystify the inner workings of AI. He has a background in software engineering, with projects focused on fraud detection and prevention. Jose earned a bachelor's and master's degree in computer science—with a specialization on AI and NLP—from Stanford University. He currently lives in San Francisco with his friends.",https://www.youtube.com/watch?v=5Uju4DP7XLY,,"Because audio data is such a neglected domain, there is very little online about its importance and impact. It's difficult to find a presentation that showcases the utility and diversity of applications fueled by speech-to-text models. This talk gathers information that would otherwise be hopelessly spread out throughout the internet and showcases them in a single space.
",MLOps & GenAI World 2023,5Uju4DP7XLY
Jeff Clune,University of British Columbia,"Professor, Computer Science, University of British Columbia; CIFAR AI Chair, Vector; Senior Research Advisor, DeepMind",Open-Ended and AI-Generating Algorithms in the Era of Foundation Models,"Open-Ended and AI-Generating Algorithms in the Era of Foundation Models

Foundation models (e.g. large language models) create exciting new opportunities in our longstanding quests to produce open-ended and AI-generating algorithms, wherein agents can truly keep innovating and learning forever. In this talk I will share some of our recent work harnessing the power of foundation models to make progress in these areas. I will cover our recent work on OMNI (Open-endedness via Models of human Notions of Interestingness), Video Pre-Training (VPT), Thought Cloning, Automatically Designing Agentic Systems, and The AI Scientist.",,,Virtual Workshop,3.0,Future trends,"Foundation models, Open-ended algorithms, Agentic systems","Jeff Clune is a Professor of computer science at the University of British Columbia, a Canada CIFAR AI Chair at the Vector Institute, and a Senior Research Advisor at DeepMind. Jeff focuses on deep learning, including deep reinforcement learning. Previously he was a research manager at OpenAI, a Senior Research Manager and founding member of Uber AI Labs (formed after Uber acquired a startup he helped lead), the Harris Associate Professor in Computer Science at the University of Wyoming, and a Research Scientist at Cornell University. He received degrees from Michigan State University (PhD, master’s) and the University of Michigan (bachelor’s). More on Jeff’s research can be found at JeffClune.com or on Twitter (@jeffclune). Since 2015, he won the Presidential Early Career Award for Scientists and Engineers from the White House, had two papers in Nature and one in PNAS, won an NSF CAREER award, received Outstanding Paper of the Decade and Distinguished Young Investigator awards, received two test of time awards, and had best paper awards, oral presentations, and invited talks at the top machine learning conferences (NeurIPS, CVPR, ICLR, and ICML). His research is regularly covered in the press, including the New York Times, NPR, the New Yorker, CNN, NBC, Wired, the BBC, the Economist, Science, Nature, National Geographic, the Atlantic, and the New Scientist.",https://www.youtube.com/watch?v=N8EqPWRp5cg,,,MLOps & GenAI World 2024,N8EqPWRp5cg
Nassim Tayari,IBM Canada,watsonx Canada Leader,"AI Governance: Accelerate Responsible, Transparent, and Explainable AI Workflows","The Hype around AI and the value it can offer and the concerns around how it can be implemented has reached a fever pitch in recent months. AI governance is not just a “nice to have” in today’s AI environment. It provides a level of organizational rigor and human oversight into how AI models are created and deployed. While it doesn’t replace the MLOps processes that organizations have, it complements them with activities intended to strike the appropriate balance between the benefits and risks of AI. The focus of this talk is on a comprehensive platform agnostic end to end solution for managing life cycles and risk for both traditional predictive machine learning and new generative AI models. watsonx.governance is an AI-driven, highly scalable governance, risk and compliance platform that can centralize siloed risk management functions within a single environment.","As part of this talk the audience would learn about importance of AI governance and how to ensure that these advanced technologies are used ethically, responsibly, and in a manner that benefits society as a whole. The learners will be introduced into a governance framework that outlines the principles, policies, and practices for governing the development, deployment, and use of generative artificial intelligence (AI) systems.",,Applied Case Studies,4.0,"Ethics, governance compliance ","AI Governance, Responsible AI, Generative AI
","Nassim Tayari is a distinguished technology leader with over 15 years of experience in Data science and engineering management. Currently, she serves as watsonx Canada leader at IBM, overseeing a large cross functional team of AI engineers and Solutions Architects assist Canadian clients in adopting trusted generative AI within their organizations.

Prior to this role, Nassim held various leadership positions at Borealis AI and Royal bank of Canada. Her background also includes hands-on experience as a Data scientist. Nassim is a visionary technologist with a passion for harnessing the power of bleeding-edge technology to revolutionize businesses.

Nassim is passionate about creating innovative and impactful solutions that leverage the power of Data and AI, prioritizing teamwork, diversity, excellence, and strive to make a positive difference in the world through her work.
Nassim Tayari holds PhD in the applications of Machine Learning in Medical Imaging and have multiple publications and certifications in the field.",https://www.youtube.com/watch?v=aQFUaSB5LME,,,TMLS 2024,aQFUaSB5LME
"Ravi Chandu Ummadisetti, Stephen Ellis, Kordel France, Eric Swei",Toyota,"Generative AI Architect, Technical Generative AI Product Manager, AI Architect, AI Architect",Toyota's Generative AI Journey,"Team Toyota will delve into their innovative journey with generative AI in automotive design, with the talk exploring how the Toyota research integrates traditional engineering constraints with state-of-the-art generative AI techniques, enhancing designers' capabilities while ensuring safety and performance considerations.","1. Toyota's Innovation Legacy
2. Leveraging LLMs in Automotive - battery, vehicle, manufacturing, etc
3. Failures in Generative AI projects
4. Education to business stakeholders",,case study & business strategy,2.0,"Model dev, training, arch.","Generative AI, Automotive design, Stakeholder education","Ravi Chandu Bio (Generative AI Architect): Ravi Chandu Ummadisetti is a distinguished Generative AI Architect with over a decade of experience, known for his pivotal role in advancing AI initiatives at Toyota Motor North America. His expertise in AI/ML methodologies has driven significant improvements across Toyota's operations, including a 75% reduction in production downtime and the development of secure, AI-powered applications. Ravi's work at Toyota, spanning manufacturing optimization, legal automation, and corporate AI solutions, showcases his ability to deliver impactful, data-driven strategies that enhance efficiency and drive innovation. His technical proficiency and leadership have earned him recognition as a key contributor to Toyota's AI success.

Stephen Ellis Bio (Technical Generative AI Product Manager): 10 years of experience in research strategy and the application of emerging technologies for companies as small as startups to Fortune 50 Enterprises. Former Director of the North Texas Blockchain Alliance where leading the cultivation of the Blockchain and Cryptocurrency competencies among software developers, C-level executives, and private investment advisors. Formerly the CTO of Plymouth Artificial Intelligence which was researching and developing future applications of AI. In this capacity advised companies on building platforms that seek to leverage emerging technologies for new business cases. Currently Technical Product Manager at Toyota Motors North America focused on enabling generative AI solutions for various group across the enterprise to drive transformation in developing new mobility solutions and enterprise operations.

Kordel France Bio (AI Architect): Kordel brings a diverse background of experiences in robotics and AI from both academia and industry. He has multiple patents in advanced sensor design and spent much of the past few years founding and building a successful sensor startup that enables the sense of smell for robotics. He is on the board of multiple startups and continues to further his AI knowledge as an AI Architect at Toyota.

Eric Swei Bio (Senior Generative AI Architect): Boasting an impressive career spanning over two decades, Eric Swei is an accomplished polymath in the tech arena, with deep-seated expertise as a full stack developer, system architect, integration architect, and specialist in computer vision, alongside his profound knowledge in generative AI, data science, IoT, and cognitive technologies.

At the forefront as the Generative AI Architect at Toyota, Eric leads a formidable team in harnessing the power of generative AI. Their innovative endeavors are not only enhancing Toyota's technological prowess but also redefining the future of automotive solutions with cutting-edge AI integration.",https://www.youtube.com/watch?v=-zV51vf-u3o,Automotive,"In this presentation, Stephen Ellis  will provide an overview of the Enterprise AI Team, detailing their role and initiatives within Toyota. Eric Swei will discuss Toyota's innovation history, highlighting the company's long-standing commitment to technological advancement. Ravi Chandu Ummadisetti will speak about the inception of Generative AI at Toyota, marking a significant milestone in the company's AI journey. Kordel France will cover the transition from Toyota Connected North America to Toyota Motors North America, emphasizing the strategic shifts and integration efforts.
 
Following these introductions, the panel will share lessons learned on vendor management and the evaluation of incoming generative AI proposals by technology partners, stressing the importance of aligning with Toyota's standards and expectations. Discussing the use of Large Language Models (LLMs) to judge, score, and quantify generative AI outputs, ensuring they meet Toyota's quality benchmarks in addition to lessons learned on collaborative requirement discovery and outcome defined capability selection to ensure appropriate application of resources to drive adoption and continued Enterprise leadership engagement.",MLOps & GenAI World 2024,-zV51vf-u3o
Guanghua Shu,Instacart,Staff Machine Learning Engineer,Lessons Learned: The Journey to Real-Time Machine Learning at Instacart,"Instacart incorporates machine learning extensively to improve the quality of experience for all actors in our “four-sided marketplace” — customers who place orders on Instacart apps to get deliveries in as fast as 30 minutes, shoppers who can go online at anytime to fulfill customer orders, retailers that sell their products and can make updates to their catalog in real time, and the brand partners that participate in auctions on the Instacart Advertising platform to promote their products.
A typical shopping journey at Instacart is powered by hundreds of machine learning models.  Many decisions/actions happen in real time, which means leveraging machine learning in real-time can provide significant value to the business. One of the major changes we have gone through is transitioning many of our batch-oriented ML systems into real-time. In this talk, we describe ML platform at Instacart with a focus on the journey of real-time ML. We will discuss both fundamental infrastructures and important use cases, review main challenges and decisions, and draw important lessons that could help others learn from our experience.","Key problems to consider for real-time ML.
Important foundations to support real-time ML in a e-commerce platform.
Avoid pitfalls and take aways good lessons in building real-time ML from our experience.",-,,4.0,Deployment and integration,"Real-time ML, ML platform, E-commerce
","Guanghua Shu is a Staff Machine Learning Engineer at Instacart, where he focuses on building end-to-end machine learning solutions to gain actionable insights from data in the e-commerce domain. Guanghua has spent over six years in applied machine learning, and worked on recommender systems for product recommendation, leveraging ML to improve cloud security, and Data/AI platforms.   

Guanghua holds a PhD in ECE from University of Illinois at Urbana-Champaign. He has published over 30 research papers and received over 10 patents. Through academia and industry experience, Guanghua has explored different abstract levels of the technology stack, ranging from ASIC design, computer architecture, distributed software systems, and applied machine learning.  He believes in the power of technology and its outsized impact on business, society and beyond. 
",https://www.youtube.com/watch?v=a9aoRDL4gJ0,"Computer Software, Food & Beverages, Information Technology & Service
",The talk will include more insights and latest update on MLOps at Instacart..,,a9aoRDL4gJ0
Arash Taheri-Dezfouli,Groq,Compiler Engineer,Extending PyTorch for Custom Compiler Targets,"Groq has delivered the world’s first LPUs, focused on LLM inference and deep learning acceleration. However, to support inference specific accelerators, metadata on the PyTorch graph, such as custom or unsupported data types, are often required to improve performance of the model. This metadata is non-trivial to get through PyTorch’s graph export systems (e.g. TorchScript + ONNX, torch.compile, torch.export). In order to maximize inference efficiency for custom hardware targets, we present a generalizable technique that allows users to annotate PyTorch code at different granularities with arbitrary information. PyTorch model annotations can be a simple and powerful means to adjust the mapping of the workload to accelerators, yet maintain the semantics of the PyTorch inference graph. Our technique allows easy injection of information into a PyTorch graph at the Python level and easy recovery of the information and semantics during downstream ingestion. We demonstrate how to use this technique to modify existing PyTorch models in place to enable custom data-types and persist precision information through PyTorch into our compiler.",A generalizable technique that allows users to annotate PyTorch code at different granularities with arbitrary information and modify existing PyTorch models in place to enable custom data-types and persist precision information through PyTorch into Groq compiler.,,Research or Advanced Technical,5.0,"Model dev, training, arch.","Custom Compiler Targets, PyTorch Annotations, Model Optimization
","Arash is a technical lead on Groq's Compiler team, focusing on front-end integrations with PyTorch, ONNX, Jax and other ML/HPC frameworks. He received his masters and undergraduate degrees from the University of Toronto and has worked on Compiler technologies for Machine Learning/AI workloads for the last 7 years. ",https://www.youtube.com/watch?v=Bn62gQ9385Y,,,TMLS 2024,Bn62gQ9385Y
Ryan McClelland,NASA Goddard Space Flight Center,Research Engineer,Evolved Structures: Using AI and Robots to build spaceflight structures at NASA,"Come get a first hand account of how NASA is leveraging Generative Design to reduce the cost and increase the performance of spaceflight missions. Also, how the concept of AI Prompt Engineering can be practically applied to diverse fields, such as structures development.",,,Case Study,4.0,Performance optimization and efficiency,"Generative Design, Spaceflight Structures, AI Prompt Engineering
","From a young age, Ryan McClelland has been captivated by futurism and technology, aspiring to contribute to a brighter future. As a Research Engineer in NASA GSFC's Instrument Systems and Technology Division, he pursues the development and implementation of digital engineering technologies for space-flight mission. Ryan is particularly excited about the potential of Artificial Intelligence, Virtual Reality, Generative Design, and Digital Manufacturing to accelerate space systems development.

With a diverse background in technology development, Ryan's previous research encompasses lightweight X-ray optics, aluminum foam core optical systems, and the investigation of non-linear effects in kinematic mechanisms. In addition to his research, Ryan has played a significant role in various flight missions, including designs currently on orbit aboard the Hubble Space Telescope and International Space Station. Recently, he served as the Roman Space Telescope Instrument Carrier Manager. Ryan holds a B.S. in Mechanical Engineering, summa cum laude, from the University of Maryland.",https://www.youtube.com/watch?v=kXo6SZXWaXQ,Space,,,kXo6SZXWaXQ
"Alex Olsen, Somayeh Sadat","CARTE, University of Toronto","Senior Research Associate, Assistant Director","Demystifying Large Language Models: ChatGPT, GPT-4, and the Future of AI Communication","The rapid advancements in artificial intelligence (AI) have given rise to a new era of large language models (LLMs) such as ChatGPT and GPT-4. These sophisticated AI systems are capable of understanding and generating human-like text, making them invaluable tools for communication and problem-solving. However, the complexity of these models often leaves the general public feeling overwhelmed and unsure of their implications. This talk aims to demystify LLMs, explaining their inner workings in an accessible manner, while highlighting their potential impact on our society.

The presentation will begin by offering an introduction to the concept of LLMs, touching on their history and development. We will explore the key principles behind these AI systems, such as neural networks and natural language processing, in a way that is easy to grasp for a non-technical audience. The primary focus will be on ChatGPT and GPT-4, two of the most advanced and widely-discussed models currently available.

Next, we will delve into the practical applications of these LLMs, demonstrating their versatility in tasks ranging from content creation to customer support. By showcasing real-world examples, attendees will gain a better understanding of how these AI models can transform various industries and streamline everyday tasks.

Finally, we will address some of the ethical and societal implications brought about by the increasing adoption of LLMs. Topics such as data privacy, algorithmic bias, and the potential for AI-generated misinformation will be discussed, providing a balanced perspective on the benefits and challenges of these revolutionary technologies.

By the end of this talk, attendees will have a clearer understanding of large language models and their impact on our lives. Join us for an enlightening journey into the world of AI communication, where we will explore the potential of ChatGPT, GPT-4, and other LLMs to shape our future interactions with technology.","I have experience giving this talk to a completely non-technical audience, for which I've had great feedback. The aim of this talk is for people to walk away feeling like they actually understand the functionality of LLMs, without needing a tchnical background.",,Business strategy,1.0,Future trends,"Large Language Models, ChatGPT, GPT-4





","Alex - At CARTE, Alex collaborates with faculty, industry partners, and students to bring the latest advances in AI to a broad audience. He has contributed to machine learning-based research in a wide variety of fields, and runs training for learners at every level.

Somayeh Sadat is the assistant director at the Centre for Analytics and Artificial Intelligence Engineering (CARTE), University of Toronto. In this role, she facilitates and oversees partnerships with industry and government to collaboratively conduct state-of-the-art research and translate and commercialize effective solutions in analytics and artificial intelligence, where applicable with leveraged funds. She also helps nurture the next generation of engineering talent through facilitating experiential learning opportunities with external partners. Somayeh holds a Ph.D. from the University of Toronto, and has over fifteen years of experience in research and education, business development, and consulting.",https://www.youtube.com/watch?v=fJBomhGZc3Y,,I have experience explaining complex AI concepts to a completely non-technical audience.,TMLS 2023,fJBomhGZc3Y
